"Okres sprawozdawczy:";"Dane roczne";
"Kategoria:";"NARODOWE SPISY POWSZECHNE";
"Grupa:";"NSP 2011 - LUDNOŚĆ";
"Podgrupa:";"Ludność wg płci i lokalizacji";
"Wymiary:";"Lokalizacje, Płeć, Lata";

"Kod";"Jednostka terytorialna";"ogółem";"ogółem";"ogółem";
;;"ogółem";"mężczyźni";"kobiety";
;;"2011";"2011";"2011";
;;"[osoba]";"[osoba]";"[osoba]";
"1608072";"Zębowice * (2)";"3822";"1922";"1900";
"1609012";"Chrząstowice * (2)";"6683";"3281";"3402";
"1609022";"Dąbrowa * (2)";"9478";"4631";"4847";
"1609032";"Dobrzeń Wielki * (2)";"14376";"6858";"7518";
"1609042";"Komprachcice * (2)";"10964";"5266";"5698";
"1609052";"Łubniany * (2)";"9506";"4593";"4913";
"1609062";"Murów * (2)";"5628";"2731";"2897";
"1609073";"Niemodlin * (3)";"13610";"6720";"6890";
"1609083";"Ozimek * (3)";"20184";"9843";"10341";
"1609092";"Popielów * (2)";"8263";"4037";"4226";
"1609103";"Prószków * (3)";"9819";"4695";"5124";
"1609112";"Tarnów Opolski * (2)";"9724";"4676";"5048";
"1609122";"Tułowice * (2)";"5269";"2549";"2720";
"1609132";"Turawa * (2)";"9633";"4667";"4966";
"1610013";"Biała * (3)";"11059";"5301";"5758";
"1610023";"Głogówek * (3)";"13856";"6745";"7111";
"1610032";"Lubrza * (2)";"4429";"2159";"2270";
"1610043";"Prudnik * (3)";"28493";"13542";"14951";
"1611012";"Izbicko * (2)";"5363";"2551";"2812";
"1611022";"Jemielnica * (2)";"7189";"3555";"3634";
"1611033";"Kolonowskie * (3)";"6081";"2936";"3145";
"1611043";"Leśnica * (3)";"8158";"3906";"4252";
"1611053";"Strzelce Opolskie * (3)";"31827";"15508";"16319";
"1611063";"Ujazd * (3)";"6269";"3039";"3230";
"1611073";"Zawadzkie * (3)";"12103";"5927";"6176";
"1661011";"Opole * (1)";"122625";"57380";"65245";
"1801032";"Czarna * (2)";"2421";"1226";"1195";
"1801052";"Lutowiska * (2)";"2161";"1109";"1052";
"1801083";"Ustrzyki Dolne * (3)";"17883";"8800";"9083";
"1802013";"Brzozów * (3)";"26687";"13113";"13574";
"1802022";"Domaradz * (2)";"6161";"3105";"3056";
"1802032";"Dydnia * (2)";"8223";"4119";"4104";
"1802042";"Haczów * (2)";"9339";"4613";"4726";
"1802052";"Jasienica Rosielna * (2)";"7606";"3744";"3862";
"1802062";"Nozdrzec * (2)";"8523";"4209";"4314";
"1803011";"Dębica * (1)";"47218";"22915";"24303";
"1803023";"Brzostek * (3)";"13178";"6589";"6589";
"1803032";"Czarna * (2)";"12751";"6338";"6413";
"1803042";"Dębica * (2)";"24917";"12429";"12488";
"1803052";"Jodłowa * (2)";"5472";"2795";"2677";
"1803063";"Pilzno * (3)";"17711";"8878";"8833";
"1803072";"Żyraków * (2)";"13630";"6798";"6832";
"1804011";"Jarosław * (1)";"39857";"18678";"21179";
"1804021";"Radymno * (1)";"5514";"2693";"2821";
"1804032";"Chłopice * (2)";"5613";"2805";"2808";
"1804042";"Jarosław * (2)";"12940";"6360";"6580";
"1804052";"Laszki * (2)";"7038";"3550";"3488";
"1804062";"Pawłosiów * (2)";"8346";"4129";"4217";
"1804073";"Pruchnik * (3)";"9834";"4867";"4967";
"1804082";"Radymno * (2)";"11507";"5747";"5760";
"1804092";"Rokietnica * (2)";"4376";"2159";"2217";
"1804102";"Roźwienica * (2)";"6301";"3167";"3134";
"1804112";"Wiązownica * (2)";"11454";"5646";"5808";
"1805011";"Jasło * (1)";"37071";"17726";"19345";
"1805022";"Brzyska * (2)";"6392";"3169";"3223";
"1805032";"Dębowiec * (2)";"8573";"4240";"4333";
"1805042";"Jasło * (2)";"16233";"7963";"8270";
"1805053";"Kołaczyce * (3)";"9072";"4545";"4527";
"1805062";"Krempna * (2)";"2009";"1066";"943";
"1805072";"Nowy Żmigród * (2)";"9373";"4669";"4704";
"1805082";"Osiek Jasielski * (2)";"5389";"2681";"2708";
"1805092";"Skołyszyn * (2)";"12450";"6162";"6288";
"1805112";"Tarnowiec * (2)";"9172";"4521";"4651";
"1806012";"Cmolas * (2)";"8058";"4078";"3980";
"1806023";"Kolbuszowa * (3)";"25118";"12275";"12843";
"1806032";"Majdan Królewski * (2)";"9930";"5002";"4928";
"1806042";"Niwiska * (2)";"6007";"2999";"3008";
"1806052";"Raniżów * (2)";"7204";"3718";"3486";
"1806062";"Dzikowiec * (2)";"6516";"3299";"3217";
"1807012";"Chorkówka * (2)";"13477";"6581";"6896";
"1807023";"Dukla * (3)";"14855";"7270";"7585";
"1807033";"Iwonicz-Zdrój * (3)";"10919";"5459";"5460";
"1807043";"Jedlicze * (3)";"15469";"7576";"7893";
"1807052";"Korczyna * (2)";"11003";"5380";"5623";
"1807062";"Krościenko Wyżne * (2)";"5426";"2669";"2757";
"1807072";"Miejsce Piastowe * (2)";"13554";"6579";"6975";
"1807083";"Rymanów * (3)";"15682";"7684";"7998";
"1807092";"Wojaszówka * (2)";"9196";"4504";"4692";
"1807102";"Jaśliska * (2)";"2100";"1037";"1063";
"1808011";"Leżajsk * (1)";"14512";"6946";"7566";
"1808022";"Grodzisko Dolne * (2)";"8118";"4058";"4060";
"1808032";"Kuryłówka * (2)";"5724";"2906";"2818";
"1808042";"Leżajsk * (2)";"19990";"9941";"10049";
"1808053";"Nowa Sarzyna * (3)";"21808";"10801";"11007";
"1809011";"Lubaczów * (1)";"12573";"6045";"6528";
"1809023";"Cieszanów * (3)";"7608";"3816";"3792";
"1809032";"Horyniec-Zdrój * (2)";"5008";"2488";"2520";
"1809042";"Lubaczów * (2)";"9178";"4624";"4554";
"1809053";"Narol * (3)";"8429";"4363";"4066";
"1809063";"Oleszyce * (3)";"6579";"3302";"3277";
"1809072";"Stary Dzików * (2)";"4442";"2247";"2195";
"1809082";"Wielkie Oczy * (2)";"3944";"1950";"1994";
"1810011";"Łańcut * (1)";"18184";"8666";"9518";
"1810022";"Białobrzegi * (2)";"8334";"4126";"4208";
"1810032";"Czarna * (2)";"11111";"5369";"5742";
"1810042";"Łańcut * (2)";"21003";"10342";"10661";
"1810052";"Markowa * (2)";"6639";"3282";"3357";
"1810062";"Rakszawa * (2)";"7246";"3598";"3648";
"1810072";"Żołynia * (2)";"6856";"3373";"3483";
"1811011";"Mielec * (1)";"61549";"29716";"31833";
"1811022";"Borowa * (2)";"5622";"2840";"2782";
"1811032";"Czermin * (2)";"6978";"3500";"3478";
"1811042";"Gawłuszowice * (2)";"2836";"1392";"1444";
"1811052";"Mielec * (2)";"12806";"6394";"6412";
"1811062";"Padew Narodowa * (2)";"5424";"2707";"2717";
"1811073";"Przecław * (3)";"11436";"5648";"5788";
"1811083";"Radomyśl Wielki * (3)";"14039";"7026";"7013";
"1811092";"Tuszów Narodowy * (2)";"7802";"3922";"3880";
"1811102";"Wadowice Górne * (2)";"7488";"3775";"3713";
"1812012";"Harasiuki * (2)";"6338";"3160";"3178";
"1812022";"Jarocin * (2)";"5483";"2717";"2766";
"1812032";"Jeżowe * (2)";"10095";"5080";"5015";
"1812042";"Krzeszów * (2)";"4328";"2137";"2191";
"1812053";"Nisko * (3)";"22596";"11056";"11540";
"1812063";"Rudnik nad Sanem * (3)";"10283";"5034";"5249";
"1812073";"Ulanów * (3)";"8689";"4355";"4334";
"1813012";"Bircza * (2)";"6719";"3442";"3277";
"1813022";"Dubiecko * (2)";"9546";"4764";"4782";
"1813032";"Fredropol * (2)";"5580";"2835";"2745";
"1813042";"Krasiczyn * (2)";"4954";"2478";"2476";
"1813052";"Krzywcza * (2)";"4933";"2531";"2402";
"1813062";"Medyka * (2)";"6387";"3179";"3208";
"1813072";"Orły * (2)";"8680";"4350";"4330";
"1813082";"Przemyśl * (2)";"9911";"4969";"4942";
"1813092";"Stubno * (2)";"4091";"2036";"2055";
"1813102";"Żurawica * (2)";"12828";"6386";"6442";
"1814011";"Przeworsk * (1)";"15971";"7607";"8364";
"1814022";"Adamówka * (2)";"4205";"2098";"2107";
"1814032";"Gać * (2)";"4657";"2309";"2348";
"1814042";"Jawornik Polski * (2)";"4667";"2302";"2365";
"1814053";"Kańczuga * (3)";"12635";"6219";"6416";
"1814062";"Przeworsk * (2)";"14739";"7226";"7513";
"1814073";"Sieniawa * (3)";"7009";"3528";"3481";
"1814082";"Tryńcza * (2)";"8351";"4204";"4147";
"1814092";"Zarzecze * (2)";"7168";"3533";"3635";
"1815012";"Iwierzyce * (2)";"7527";"3748";"3779";
"1815022";"Ostrów * (2)";"7063";"3507";"3556";
"1815033";"Ropczyce * (3)";"26741";"13209";"13532";
"1815043";"Sędziszów Małopolski * (3)";"23228";"11319";"11909";
"1815052";"Wielopole Skrzyńskie * (2)";"8442";"4207";"4235";
"1816011";"Dynów * (1)";"6228";"3058";"3170";
"1816023";"Błażowa * (3)";"10766";"5331";"5435";
"1816033";"Boguchwała * (3)";"18929";"9232";"9697";
"1816042";"Chmielnik * (2)";"6668";"3309";"3359";
"1816052";"Dynów * (2)";"7146";"3603";"3543";
"1816063";"Głogów Małopolski * (3)";"18627";"9232";"9395";
"1816072";"Hyżne * (2)";"6971";"3449";"3522";
"1816082";"Kamień * (2)";"6990";"3519";"3471";
"1816092";"Krasne * (2)";"10294";"5030";"5264";
"1816102";"Lubenia * (2)";"6524";"3206";"3318";
"1816113";"Sokołów Małopolski * (3)";"16925";"8329";"8596";
"1816122";"Świlcza * (2)";"15923";"7852";"8071";
"1816132";"Trzebownisko * (2)";"19972";"9709";"10263";
"1816143";"Tyczyn * (3)";"11041";"5446";"5595";
"1817011";"Sanok * (1)";"39511";"18884";"20627";
"1817022";"Besko * (2)";"4392";"2169";"2223";
"1817032";"Bukowsko * (2)";"5458";"2732";"2726";
"1817042";"Komańcza * (2)";"5121";"2596";"2525";
"1817052";"Sanok * (2)";"17463";"8778";"8685";
"1817062";"Tyrawa Wołoska * (2)";"1983";"1005";"978";
"1817073";"Zagórz * (3)";"12996";"6469";"6527";
"1817082";"Zarszyn * (2)";"9325";"4530";"4795";
"1818011";"Stalowa Wola * (1)";"65182";"31426";"33756";
"1818022";"Bojanów * (2)";"7405";"3777";"3628";
"1818032";"Pysznica * (2)";"10177";"5034";"5143";
"1818042";"Radomyśl nad Sanem * (2)";"7418";"3682";"3736";
"1818052";"Zaklików * (2)";"8731";"4293";"4438";
"1818062";"Zaleszany * (2)";"10847";"5392";"5455";
"1819012";"Czudec * (2)";"11750";"5853";"5897";
"1819022";"Frysztak * (2)";"10565";"5275";"5290";
"1819032";"Niebylec * (2)";"10694";"5194";"5500";
"1819043";"Strzyżów * (3)";"20905";"10301";"10604";
"1819052";"Wiśniowa * (2)";"8446";"4193";"4253";
"1820013";"Baranów Sandomierski * (3)";"12196";"6046";"6150";
"1820022";"Gorzyce * (2)";"13636";"6750";"6886";
"1820032";"Grębów * (2)";"9793";"4889";"4904";
"1820043";"Nowa Dęba * (3)";"18667";"9091";"9576";
"1821012";"Baligród * (2)";"3209";"1604";"1605";
"1821022";"Cisna * (2)";"1732";"890";"842";
"1821033";"Lesko * (3)";"11643";"5673";"5970";
"1821042";"Olszanica * (2)";"5038";"2537";"2501";
"1821052";"Solina * (2)";"5302";"2666";"2636";
"1861011";"Krosno * (1)";"47471";"22457";"25014";
"1862011";"Przemyśl * (1)";"65000";"30470";"34530";
"1863011";"Rzeszów * (1)";"179386";"84763";"94623";
"1864011";"Tarnobrzeg * (1)";"48821";"23483";"25338";
"2001011";"Augustów * (1)";"30802";"14556";"16246";
"2001022";"Augustów * (2)";"6879";"3545";"3334";
"2001032";"Bargłów Kościelny * (2)";"5809";"2903";"2906";
"2001043";"Lipsk * (3)";"5591";"2793";"2798";
"2001052";"Nowinka * (2)";"2960";"1504";"1456";
"2001062";"Płaska * (2)";"2573";"1311";"1262";
"2001072";"Sztabin * (2)";"5430";"2797";"2633";
"2002013";"Choroszcz * (3)";"14022";"6998";"7024";
"2002023";"Czarna Białostocka * (3)";"11862";"5764";"6098";
"2002032";"Dobrzyniewo Duże * (2)";"8496";"4242";"4254";
"2002042";"Gródek * (2)";"5696";"2759";"2937";
"2002052";"Juchnowiec Kościelny * (2)";"14618";"7275";"7343";
"2002063";"Łapy * (3)";"22755";"11093";"11662";
"2002073";"Michałowo * (3)";"7250";"3612";"3638";
"2002082";"Poświętne * (2)";"3715";"1896";"1819";
"2002093";"Supraśl * (3)";"13746";"6683";"7063";
"2002103";"Suraż * (3)";"2068";"1015";"1053";
"2002112";"Turośń Kościelna * (2)";"5729";"2876";"2853";
"2002123";"Tykocin * (3)";"6464";"3167";"3297";
"2002133";"Wasilków * (3)";"14413";"6972";"7441";
"2002143";"Zabłudów * (3)";"9047";"4532";"4515";
"2002152";"Zawady * (2)";"2950";"1524";"1426";
"2003011";"Bielsk Podlaski * (1)";"26679";"12832";"13847";
"2003021";"Brańsk * (1)";"3914";"1940";"1974";
"2003032";"Bielsk Podlaski * (2)";"7185";"3601";"3584";
"2003042";"Boćki * (2)";"4800";"2455";"2345";
"2003052";"Brańsk * (2)";"6307";"3254";"3053";
"2003062";"Orla * (2)";"3107";"1489";"1618";
"2003072";"Rudka * (2)";"2044";"1027";"1017";
"2003082";"Wyszki * (2)";"4777";"2434";"2343";
"2004011";"Grajewo * (1)";"22521";"10934";"11587";
"2004022";"Grajewo * (2)";"6069";"3108";"2961";
"2004032";"Radziłów * (2)";"5070";"2561";"2509";
"2004043";"Rajgród * (3)";"5526";"2793";"2733";
"2004053";"Szczuczyn * (3)";"6502";"3284";"3218";
"2004062";"Wąsosz * (2)";"3971";"2012";"1959";
"2005011";"Hajnówka * (1)";"22274";"10605";"11669";
"2005022";"Białowieża * (2)";"2301";"1137";"1164";
"2005032";"Czeremcha * (2)";"3514";"1721";"1793";
"2005042";"Czyże * (2)";"2361";"1156";"1205";
"2005052";"Dubicze Cerkiewne * (2)";"1792";"890";"902";
"2005062";"Hajnówka * (2)";"4076";"2011";"2065";
"2005073";"Kleszczele * (3)";"2814";"1387";"1427";
"2005082";"Narew * (2)";"3937";"1944";"1993";
"2005092";"Narewka * (2)";"3898";"1964";"1934";
"2006011";"Kolno * (1)";"10738";"5256";"5482";
"2006022";"Grabowo * (2)";"3669";"1854";"1815";
"2006032";"Kolno * (2)";"8884";"4447";"4437";
"2006042";"Mały Płock * (2)";"5066";"2549";"2517";
"2006053";"Stawiski * (3)";"6570";"3284";"3286";
"2006062";"Turośl * (2)";"5197";"2752";"2445";
"2007013";"Jedwabne * (3)";"5666";"2853";"2813";
"2007022";"Łomża * (2)";"10663";"5390";"5273";
"2007032";"Miastkowo * (2)";"4368";"2208";"2160";
"2007043";"Nowogród * (3)";"4144";"2052";"2092";
"2007052";"Piątnica * (2)";"10755";"5440";"5315";
"2007062";"Przytuły * (2)";"2197";"1085";"1112";
"2007072";"Śniadowo * (2)";"5619";"2852";"2767";
"2007082";"Wizna * (2)";"4365";"2194";"2171";
"2007092";"Zbójna * (2)";"4424";"2268";"2156";
"2008013";"Goniądz * (3)";"5216";"2586";"2630";
"2008022";"Jasionówka * (2)";"2997";"1499";"1498";
"2008032";"Jaświły * (2)";"5456";"2805";"2651";
"2008043";"Knyszyn * (3)";"4987";"2484";"2503";
"2008052";"Krypno * (2)";"4116";"2058";"2058";
"2008063";"Mońki * (3)";"15554";"7648";"7906";
"2008072";"Trzcianne * (2)";"4625";"2372";"2253";
"2009011";"Sejny * (1)";"5709";"2713";"2996";
"2009022";"Giby * (2)";"2923";"1458";"1465";
"2009032";"Krasnopol * (2)";"3985";"2051";"1934";
"2009042";"Puńsk * (2)";"4366";"2186";"2180";
"2009052";"Sejny * (2)";"4156";"2152";"2004";
"2010011";"Siemiatycze * (1)";"15034";"7185";"7849";
"2010023";"Drohiczyn * (3)";"6840";"3430";"3410";
"2010032";"Dziadkowice * (2)";"3012";"1530";"1482";
"2010042";"Grodzisk * (2)";"4634";"2366";"2268";
"2010052";"Mielnik * (2)";"2594";"1238";"1356";
"2010062";"Milejczyce * (2)";"2106";"980";"1126";
"2010072";"Nurzec-Stacja * (2)";"4361";"2144";"2217";
"2010082";"Perlejewo * (2)";"3082";"1552";"1530";
"2010092";"Siemiatycze * (2)";"6404";"3238";"3166";
"2011013";"Dąbrowa Białostocka * (3)";"12578";"6247";"6331";
"2011022";"Janów * (2)";"4447";"2203";"2244";
"2011032";"Korycin * (2)";"3488";"1754";"1734";
"2011043";"Krynki * (3)";"3358";"1645";"1713";
"2011052";"Kuźnica * (2)";"4313";"2163";"2150";
"2011062";"Nowy Dwór * (2)";"2877";"1435";"1442";
"2011072";"Sidra * (2)";"3748";"1903";"1845";
"2011083";"Sokółka * (3)";"26698";"13039";"13659";
"2011093";"Suchowola * (3)";"7323";"3621";"3702";
"2011102";"Szudziałowo * (2)";"3290";"1663";"1627";
"2012012";"Bakałarzewo * (2)";"3099";"1602";"1497";
"2012022";"Filipów * (2)";"4600";"2384";"2216";
"2012032";"Jeleniewo * (2)";"3162";"1645";"1517";
"2012042";"Przerośl * (2)";"3074";"1569";"1505";
"2012052";"Raczki * (2)";"6131";"3109";"3022";
"2012062";"Rutka-Tartak * (2)";"2471";"1253";"1218";
"2012072";"Suwałki * (2)";"7182";"3642";"3540";
"2012082";"Szypliszki * (2)";"3989";"2029";"1960";
"2012092";"Wiżajny * (2)";"2499";"1260";"1239";
"2013011";"Wysokie Mazowieckie * (1)";"9516";"4596";"4920";
"2013023";"Ciechanowiec * (3)";"9269";"4686";"4583";
"2013033";"Czyżew * (3)";"6612";"3347";"3265";
"2013042";"Klukowo * (2)";"4620";"2403";"2217";
"2013052";"Kobylin-Borzymy * (2)";"3493";"1813";"1680";
"2013062";"Kulesze Kościelne * (2)";"3301";"1670";"1631";
"2013072";"Nowe Piekuty * (2)";"4112";"2088";"2024";
"2013082";"Sokoły * (2)";"5980";"2999";"2981";
"2013093";"Szepietowo * (3)";"7378";"3730";"3648";
"2013102";"Wysokie Mazowieckie * (2)";"5380";"2732";"2648";
"2014011";"Zambrów * (1)";"22812";"10963";"11849";
"2014022";"Kołaki Kościelne * (2)";"2431";"1241";"1190";
"2014032";"Rutki * (2)";"5983";"3070";"2913";
"2014042";"Szumowo * (2)";"4988";"2542";"2446";
"2014052";"Zambrów * (2)";"8927";"4549";"4378";
"2061011";"Białystok * (1)";"293998";"138120";"155878";
"2062011";"Łomża * (1)";"63203";"30368";"32835";
"2063011";"Suwałki * (1)";"69239";"33228";"36011";
"2201012";"Borzytuchom * (2)";"2954";"1502";"1452";
"2201023";"Bytów * (3)";"24829";"12168";"12661";
"2201032";"Czarna Dąbrówka * (2)";"5756";"2924";"2832";
"2201042";"Kołczygłowy * (2)";"4278";"2147";"2131";
"2201052";"Lipnica * (2)";"5070";"2610";"2460";
"2201063";"Miastko * (3)";"20211";"10055";"10156";
"2201072";"Parchowo * (2)";"3571";"1773";"1798";
"2201082";"Studzienice * (2)";"3525";"1785";"1740";
"2201092";"Trzebielino * (2)";"3790";"1892";"1898";
"2201102";"Tuchomie * (2)";"4160";"2133";"2027";
"2202011";"Chojnice * (1)";"40452";"19540";"20912";
"2202023";"Brusy * (3)";"13971";"6983";"6988";
"2202032";"Chojnice * (2)";"17460";"8820";"8640";
"2202043";"Czersk * (3)";"21445";"10685";"10760";
"2202052";"Konarzyny * (2)";"2277";"1151";"1126";
"2203011";"Człuchów * (1)";"14628";"7030";"7598";
"2203023";"Czarne * (3)";"9432";"4632";"4800";
"2203032";"Człuchów * (2)";"10592";"5416";"5176";
"2203043";"Debrzno * (3)";"9364";"4621";"4743";
"2203052";"Koczała * (2)";"3563";"1768";"1795";
"2203062";"Przechlewo * (2)";"6324";"3175";"3149";
"2203072";"Rzeczenica * (2)";"3725";"1830";"1895";
"2204011";"Pruszcz Gdański * (1)";"27787";"13277";"14510";
"2204022";"Cedry Wielkie * (2)";"6738";"3337";"3401";
"2204032";"Kolbudy * (2)";"14356";"7051";"7305";
"2204042";"Pruszcz Gdański * (2)";"21412";"10616";"10796";
"2204052";"Przywidz * (2)";"5622";"2909";"2713";
"2204062";"Pszczółki * (2)";"8478";"4212";"4266";
"2204072";"Suchy Dąb * (2)";"4124";"2124";"2000";
"2204082";"Trąbki Wielkie * (2)";"10483";"5265";"5218";
"2205012";"Chmielno * (2)";"7058";"3571";"3487";
"2205023";"Kartuzy * (3)";"32631";"16058";"16573";
"2205032";"Przodkowo * (2)";"7887";"3988";"3899";
"2205042";"Sierakowice * (2)";"17988";"9107";"8881";
"2205052";"Somonino * (2)";"9819";"5035";"4784";
"2205062";"Stężyca * (2)";"9576";"4863";"4713";
"2205072";"Sulęczyno * (2)";"5118";"2590";"2528";
"2205083";"Żukowo * (3)";"29877";"14920";"14957";
"2206011";"Kościerzyna * (1)";"23765";"11602";"12163";
"2206022";"Dziemiany * (2)";"4200";"2070";"2130";
"2206032";"Karsin * (2)";"6159";"3079";"3080";
"2206042";"Kościerzyna * (2)";"14898";"7570";"7328";
"2206052";"Liniewo * (2)";"4625";"2343";"2282";
"2206062";"Lipusz * (2)";"3571";"1848";"1723";
"2206072";"Nowa Karczma * (2)";"6659";"3351";"3308";
"2206082";"Stara Kiszewa * (2)";"6597";"3426";"3171";
"2207011";"Kwidzyn * (1)";"38632";"18739";"19893";
"2207022";"Gardeja * (2)";"8478";"4332";"4146";
"2207032";"Kwidzyn * (2)";"10988";"5599";"5389";
"2207043";"Prabuty * (3)";"13458";"6699";"6759";
"2207052";"Ryjewo * (2)";"5952";"3095";"2857";
"2207062";"Sadlinki * (2)";"5869";"2890";"2979";
"2208011";"Lębork * (1)";"35789";"17352";"18437";
"2208021";"Łeba * (1)";"3903";"1887";"2016";
"2208032";"Cewice * (2)";"7330";"3720";"3610";
"2208042";"Nowa Wieś Lęborska * (2)";"13211";"6726";"6485";
"2208052";"Wicko * (2)";"5910";"2970";"2940";
"2209011";"Malbork * (1)";"39387";"18979";"20408";
"2209032";"Lichnowy * (2)";"4817";"2427";"2390";
"2209042";"Malbork * (2)";"4505";"2287";"2218";
"2209062";"Miłoradz * (2)";"3398";"1704";"1694";
"2209073";"Nowy Staw * (3)";"7994";"3969";"4025";
"2209082";"Stare Pole * (2)";"4726";"2357";"2369";
"2210011";"Krynica Morska * (1)";"1363";"655";"708";
"2210023";"Nowy Dwór Gdański * (3)";"18289";"8986";"9303";
"2210032";"Ostaszewo * (2)";"3285";"1689";"1596";
"2210042";"Stegna * (2)";"9925";"4967";"4958";
"2210052";"Sztutowo * (2)";"3659";"1833";"1826";
"2211011";"Hel * (1)";"3916";"1968";"1948";
"2211021";"Jastarnia * (1)";"3970";"1924";"2046";
"2211031";"Puck * (1)";"11549";"5594";"5955";
"2211041";"Władysławowo * (1)";"15296";"7512";"7784";
"2211052";"Kosakowo * (2)";"10223";"5097";"5126";
"2211062";"Krokowa * (2)";"10470";"5321";"5149";
"2211072";"Puck * (2)";"23923";"12029";"11894";
"2212011";"Ustka * (1)";"16560";"7983";"8577";
"2212022";"Damnica * (2)";"6264";"3177";"3087";
"2212032";"Dębnica Kaszubska * (2)";"9823";"4930";"4893";
"2212042";"Główczyce * (2)";"9623";"4902";"4721";
"2212053";"Kępice * (3)";"9569";"4936";"4633";
"2212062";"Kobylnica * (2)";"10643";"5382";"5261";
"2212072";"Potęgowo * (2)";"7184";"3635";"3549";
"2212082";"Słupsk * (2)";"15533";"7798";"7735";
"2212092";"Smołdzino * (2)";"3455";"1734";"1721";
"2212102";"Ustka * (2)";"7994";"4070";"3924";
"2213011";"Czarna Woda * (1)";"3312";"1626";"1686";
"2213021";"Skórcz * (1)";"3589";"1773";"1816";
"2213031";"Starogard Gdański * (1)";"49191";"23725";"25466";
"2213042";"Bobowo * (2)";"3038";"1542";"1496";
"2213052";"Kaliska * (2)";"5238";"2607";"2631";
"2213062";"Lubichowo * (2)";"6148";"3079";"3069";
"2213072";"Osieczna * (2)";"2942";"1486";"1456";
"2213082";"Osiek * (2)";"2466";"1252";"1214";
"2213093";"Skarszewy * (3)";"14561";"7226";"7335";
"2213102";"Skórcz * (2)";"4653";"2386";"2267";
"2213112";"Smętowo Graniczne * (2)";"5356";"2646";"2710";
"2213122";"Starogard Gdański * (2)";"14849";"7476";"7373";
"2213132";"Zblewo * (2)";"11215";"5559";"5656";
"2214011";"Tczew * (1)";"60889";"29347";"31542";
"2214023";"Gniew * (3)";"16059";"8016";"8043";
"2214032";"Morzeszczyn * (2)";"3763";"1924";"1839";
"2214043";"Pelplin * (3)";"16702";"8348";"8354";
"2214052";"Subkowy * (2)";"5387";"2748";"2639";
"2214062";"Tczew * (2)";"12840";"6503";"6337";
"2215011";"Reda * (1)";"21579";"10648";"10931";
"2215021";"Rumia * (1)";"46714";"22814";"23900";
"2215031";"Wejherowo * (1)";"49922";"24088";"25834";
"2215042";"Choczewo * (2)";"5718";"2947";"2771";
"2215052";"Gniewino * (2)";"7143";"3775";"3368";
"2215062";"Linia * (2)";"5980";"3016";"2964";
"2215072";"Luzino * (2)";"14253";"7184";"7069";
"2215082";"Łęczyce * (2)";"11751";"5914";"5837";
"2215092";"Szemud * (2)";"15067";"7699";"7368";
"2215102";"Wejherowo * (2)";"21437";"10746";"10691";
"2216013";"Dzierzgoń * (3)";"9647";"4840";"4807";
"2216022";"Mikołajki Pomorskie * (2)";"3774";"1931";"1843";
"2216032";"Stary Dzierzgoń * (2)";"4183";"2098";"2085";
"2216042";"Stary Targ * (2)";"6488";"3281";"3207";
"2216053";"Sztum * (3)";"18666";"9162";"9504";
"2261011";"Gdańsk * (1)";"460276";"218254";"242022";
"2262011";"Gdynia * (1)";"249138";"118549";"130589";
"2263011";"Słupsk * (1)";"95882";"45262";"50620";
"2264011";"Sopot * (1)";"38690";"17901";"20789";
"2401011";"Będzin * (1)";"59068";"28154";"30914";
"2401021";"Czeladź * (1)";"33745";"16056";"17689";
"2401031";"Wojkowice * (1)";"9233";"4388";"4845";
"2401042";"Bobrowniki * (2)";"11648";"5496";"6152";
"2401052";"Mierzęcice * (2)";"7538";"3684";"3854";
"2401062";"Psary * (2)";"11583";"5538";"6045";
"2401073";"Siewierz * (3)";"12230";"5908";"6322";
"2401081";"Sławków * (1)";"7088";"3403";"3685";
"2402011";"Szczyrk * (1)";"5801";"2773";"3028";
"2402022";"Bestwina * (2)";"10844";"5331";"5513";
"2402032";"Buczkowice * (2)";"10908";"5356";"5552";
"2402043";"Czechowice-Dziedzice * (3)";"44252";"21422";"22830";
"2402052";"Jasienica * (2)";"22127";"10889";"11238";
"2402062";"Jaworze * (2)";"6786";"3334";"3452";
"2402072";"Kozy * (2)";"12271";"5862";"6409";
"2402082";"Porąbka * (2)";"15295";"7494";"7801";
"2402093";"Wilamowice * (3)";"16096";"7921";"8175";
"2402102";"Wilkowice * (2)";"12947";"6193";"6754";
"2403011";"Cieszyn * (1)";"36248";"16865";"19383";
"2403021";"Ustroń * (1)";"15956";"7542";"8414";
"2403031";"Wisła * (1)";"11335";"5486";"5849";
"2403042";"Brenna * (2)";"10801";"5316";"5485";
"2403052";"Chybie * (2)";"9398";"4616";"4782";
"2403062";"Dębowiec * (2)";"5609";"2788";"2821";
"2403072";"Goleszów * (2)";"12669";"6122";"6547";
"2403082";"Hażlach * (2)";"10386";"5102";"5284";
"2403092";"Istebna * (2)";"11759";"5883";"5876";
"2403103";"Skoczów * (3)";"26453";"12685";"13768";
"2403113";"Strumień * (3)";"12486";"6219";"6267";
"2403122";"Zebrzydowice * (2)";"12962";"6330";"6632";
"2404013";"Blachownia * (3)";"13332";"6324";"7008";
"2404022";"Dąbrowa Zielona * (2)";"4056";"1989";"2067";
"2404032";"Janów * (2)";"5975";"2994";"2981";
"2404042";"Kamienica Polska * (2)";"5577";"2710";"2867";
